               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057287,            0.020766,            0.066951,            0.073418,             0.45286,            0.075032,            0.039579,            0.035799,           0.0062262,            0.055596,            0.070046,           0.0033283,           0.0033283
                   1,            0.039576,            0.017352,            0.060634,             0.12728,              0.4013,             0.14557,            0.084881,               0.033,           0.0059291,            0.049545,            0.040002,           0.0066176,           0.0066176
                   2,            0.038613,            0.017013,            0.056589,             0.26437,             0.33241,             0.17984,            0.082833,            0.037466,           0.0065491,            0.044031,           0.0099138,            0.009863,            0.009863
                   3,            0.038379,            0.017408,            0.054517,             0.20979,             0.42911,             0.24749,             0.13233,            0.034305,           0.0061897,            0.042274,            0.009802,            0.009802,            0.009802
                   4,            0.036259,            0.016983,            0.051815,             0.27065,             0.41755,             0.29586,             0.15973,            0.032172,           0.0061877,            0.039073,            0.009802,            0.009802,            0.009802
                   5,            0.034957,            0.016694,            0.049858,             0.31035,             0.42425,             0.34419,              0.1912,            0.032748,           0.0060546,            0.035434,            0.009736,            0.009736,            0.009736
                   6,            0.034236,            0.016334,            0.047143,             0.32438,             0.44132,             0.35292,             0.18336,            0.033362,           0.0061385,            0.035405,             0.00967,             0.00967,             0.00967
                   7,            0.033219,            0.016108,            0.045733,             0.34329,             0.48411,             0.41284,             0.24508,            0.030461,           0.0058806,             0.03246,            0.009604,            0.009604,            0.009604
                   8,            0.032997,            0.016091,            0.045402,              0.4208,             0.48375,             0.45246,             0.24831,            0.031245,           0.0057426,            0.029109,            0.009538,            0.009538,            0.009538
                   9,            0.032186,            0.015811,            0.043533,               0.416,             0.44766,             0.43457,             0.24274,            0.031345,           0.0058878,            0.030529,            0.009472,            0.009472,            0.009472
                  10,            0.032233,            0.015827,            0.042522,             0.52958,             0.46082,             0.50109,             0.29188,            0.030966,           0.0056389,            0.027991,            0.009406,            0.009406,            0.009406
                  11,            0.031724,            0.015464,            0.041701,             0.49223,              0.4534,             0.48375,             0.27558,            0.030835,           0.0056477,            0.027599,             0.00934,             0.00934,             0.00934
                  12,            0.031589,            0.015556,            0.040812,             0.50907,             0.52024,             0.53926,             0.28895,            0.032298,           0.0056742,            0.026701,            0.009274,            0.009274,            0.009274
                  13,            0.031123,            0.015427,             0.03988,             0.51848,             0.51341,             0.54995,             0.32685,            0.029616,           0.0055364,            0.026585,            0.009208,            0.009208,            0.009208
                  14,            0.031403,            0.015171,            0.039159,             0.58865,             0.52025,             0.57773,             0.33797,            0.029549,           0.0054778,            0.024742,            0.009142,            0.009142,            0.009142
                  15,            0.030889,            0.015259,             0.03769,             0.52707,             0.54051,             0.56043,             0.32745,            0.029525,           0.0057035,            0.025722,            0.009076,            0.009076,            0.009076
                  16,             0.03071,            0.015173,             0.03681,             0.57063,             0.55774,             0.60155,             0.35928,            0.028915,           0.0054921,            0.023078,             0.00901,             0.00901,             0.00901
                  17,            0.030307,            0.015105,            0.035562,             0.64656,             0.50713,             0.60247,             0.35987,            0.029903,           0.0055915,            0.023062,            0.008944,            0.008944,            0.008944
                  18,            0.029821,            0.014852,            0.035014,             0.67125,             0.55373,             0.63538,             0.38301,            0.028704,           0.0055646,            0.023189,            0.008878,            0.008878,            0.008878
