               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060858,            0.021632,            0.067574,            0.063601,             0.31513,            0.058472,            0.026054,            0.045912,           0.0069505,             0.05693,            0.070046,           0.0033283,           0.0033283
                   1,            0.045693,            0.019818,            0.063463,            0.097806,             0.27277,            0.089628,            0.044755,            0.039988,           0.0068264,            0.052792,            0.040002,           0.0066176,           0.0066176
                   2,            0.043372,            0.019085,             0.06076,             0.13016,             0.27681,               0.137,            0.057039,             0.04216,           0.0066114,            0.049323,           0.0099138,            0.009863,            0.009863
                   3,            0.042291,            0.018774,            0.059446,             0.19619,             0.32237,             0.18855,            0.089162,            0.039984,           0.0066324,            0.047026,            0.009802,            0.009802,            0.009802
                   4,            0.040225,            0.018616,            0.057863,             0.19066,             0.32867,             0.20279,            0.095219,            0.036922,           0.0065622,            0.046426,            0.009802,            0.009802,            0.009802
                   5,            0.039016,            0.018364,            0.056893,             0.20078,             0.31953,             0.21601,            0.099807,            0.038495,           0.0065095,            0.044879,            0.009736,            0.009736,            0.009736
                   6,            0.038616,            0.018201,            0.055531,             0.22864,             0.34472,             0.24266,             0.11119,            0.037803,           0.0065844,            0.044625,             0.00967,             0.00967,             0.00967
                   7,            0.038078,             0.01821,            0.054988,              0.2357,             0.37557,             0.25702,              0.1315,            0.034969,           0.0065104,            0.043155,            0.009604,            0.009604,            0.009604
                   8,             0.03772,            0.018106,             0.05457,             0.21771,             0.42074,             0.25717,             0.12802,            0.034575,           0.0065029,            0.042644,            0.009538,            0.009538,            0.009538
                   9,            0.037306,            0.017958,            0.053668,             0.27608,             0.39491,             0.28281,              0.1384,             0.03617,           0.0064461,            0.041387,            0.009472,            0.009472,            0.009472
                  10,            0.037354,              0.0181,            0.053113,             0.26943,             0.37828,             0.28426,              0.1363,             0.03658,           0.0065504,             0.04133,            0.009406,            0.009406,            0.009406
                  11,            0.037026,            0.017855,            0.053024,             0.28093,             0.42496,             0.29888,             0.14547,            0.035905,           0.0064084,            0.041602,             0.00934,             0.00934,             0.00934
                  12,            0.036944,            0.017767,             0.05227,              0.2926,             0.40322,             0.31702,              0.1511,            0.034994,           0.0063793,            0.039338,            0.009274,            0.009274,            0.009274
                  13,            0.036561,            0.017785,            0.051964,             0.31932,             0.41211,             0.33176,             0.16622,            0.034954,           0.0063232,            0.039022,            0.009208,            0.009208,            0.009208
                  14,            0.036854,             0.01744,            0.051462,              0.3349,             0.42232,              0.3435,             0.16632,            0.035991,           0.0063401,            0.038386,            0.009142,            0.009142,            0.009142
                  15,            0.036142,            0.017706,            0.050991,             0.32232,             0.41799,             0.33818,              0.1698,            0.035179,           0.0063046,            0.038641,            0.009076,            0.009076,            0.009076
                  16,            0.036247,            0.017699,            0.050782,             0.35287,             0.41699,              0.3633,             0.17912,            0.035499,            0.006291,            0.038181,             0.00901,             0.00901,             0.00901
                  17,            0.036054,            0.017761,             0.05007,             0.36437,             0.40661,             0.35786,             0.16947,             0.03641,             0.00628,            0.037412,            0.008944,            0.008944,            0.008944
                  18,            0.035688,            0.017499,             0.04983,             0.35788,             0.42546,              0.3832,             0.18735,            0.035537,           0.0062758,            0.037609,            0.008878,            0.008878,            0.008878
                  19,            0.035706,            0.017605,            0.049417,             0.37013,             0.44982,             0.40114,             0.20453,             0.03414,           0.0062257,             0.03643,            0.008812,            0.008812,            0.008812
                  20,            0.035865,            0.017458,             0.04926,             0.37454,             0.42454,             0.39124,             0.18434,            0.035093,            0.006282,            0.036464,            0.008746,            0.008746,            0.008746
                  21,            0.035454,            0.017597,            0.048775,              0.3845,             0.46645,             0.40997,             0.20882,            0.035211,           0.0062383,            0.035846,             0.00868,             0.00868,             0.00868
                  22,            0.035621,            0.017384,            0.048544,             0.37377,             0.48532,             0.41489,              0.2023,            0.035223,           0.0061588,             0.03553,            0.008614,            0.008614,            0.008614
                  23,            0.035557,              0.0174,            0.047803,             0.39801,             0.45736,             0.42096,             0.21582,            0.034466,           0.0062528,            0.035076,            0.008548,            0.008548,            0.008548
                  24,            0.035036,            0.017404,             0.04797,             0.44407,             0.44072,              0.4301,             0.22219,            0.034387,           0.0061836,            0.034942,            0.008482,            0.008482,            0.008482
                  25,            0.035218,            0.017265,            0.047406,             0.38689,             0.46084,             0.43649,             0.21313,            0.034423,           0.0062179,            0.035147,            0.008416,            0.008416,            0.008416
                  26,            0.035203,            0.017479,            0.047417,             0.43419,             0.44622,             0.44089,             0.22479,             0.03451,           0.0062369,            0.035846,             0.00835,             0.00835,             0.00835
                  27,            0.035075,            0.017227,            0.047815,             0.48158,             0.45743,             0.47421,             0.24487,            0.034036,           0.0061516,            0.034916,            0.008284,            0.008284,            0.008284
                  28,            0.034911,            0.017371,            0.046691,             0.44143,             0.50133,             0.47207,             0.23784,             0.03356,           0.0061282,            0.034531,            0.008218,            0.008218,            0.008218
                  29,            0.035228,            0.017413,            0.046486,             0.46068,             0.45838,             0.45971,             0.23475,            0.034002,           0.0061524,            0.034934,            0.008152,            0.008152,            0.008152
                  30,            0.035042,            0.017273,            0.046518,             0.47144,             0.46237,             0.46248,             0.23838,            0.034613,            0.006172,            0.034169,            0.008086,            0.008086,            0.008086
                  31,            0.034895,            0.017249,            0.046117,             0.48365,             0.50731,             0.49379,             0.26947,            0.032944,           0.0061189,            0.032918,             0.00802,             0.00802,             0.00802
                  32,            0.034925,            0.017132,            0.045535,             0.49447,             0.51068,             0.49779,             0.25636,            0.033937,           0.0061244,            0.032947,            0.007954,            0.007954,            0.007954
                  33,            0.034808,            0.017093,            0.045613,             0.48475,             0.51434,             0.49446,             0.25691,            0.034025,           0.0061021,            0.032869,            0.007888,            0.007888,            0.007888
                  34,            0.034655,            0.017143,            0.045185,             0.53102,             0.48022,             0.51121,             0.26388,            0.033528,           0.0060618,            0.033049,            0.007822,            0.007822,            0.007822
                  35,            0.034572,            0.017185,            0.044748,             0.49688,             0.50216,             0.50696,             0.26346,            0.033625,           0.0060759,            0.032504,            0.007756,            0.007756,            0.007756
                  36,            0.034613,            0.017057,            0.044839,             0.51074,             0.49573,             0.51013,             0.26165,            0.033818,           0.0060496,            0.033167,             0.00769,             0.00769,             0.00769
                  37,            0.034581,            0.016956,            0.044664,             0.51949,             0.52419,             0.52342,             0.27221,            0.033641,           0.0059923,            0.031646,            0.007624,            0.007624,            0.007624
                  38,            0.034602,            0.017074,            0.044511,             0.54244,             0.52686,             0.53181,             0.27791,            0.033482,           0.0060441,            0.031237,            0.007558,            0.007558,            0.007558
                  39,             0.03443,            0.016923,            0.044145,             0.55544,             0.50462,             0.52336,             0.26671,            0.033688,           0.0059972,            0.032336,            0.007492,            0.007492,            0.007492
                  40,            0.033983,            0.016942,            0.043973,             0.52448,             0.53847,             0.53315,             0.28367,            0.032872,            0.005954,            0.032091,            0.007426,            0.007426,            0.007426
                  41,            0.034334,            0.017073,            0.043528,             0.54627,             0.50826,             0.53476,              0.2783,            0.033346,            0.005924,            0.031166,             0.00736,             0.00736,             0.00736
                  42,            0.034512,            0.017022,            0.043474,             0.52087,             0.52452,             0.53573,             0.28006,            0.033264,            0.006029,            0.030997,            0.007294,            0.007294,            0.007294
                  43,            0.034259,            0.017144,            0.043177,             0.49309,             0.54484,             0.54333,             0.28354,             0.03397,           0.0059958,            0.030665,            0.007228,            0.007228,            0.007228
                  44,            0.034605,            0.016988,            0.043603,             0.54596,             0.51749,             0.55012,             0.28992,            0.033364,           0.0059605,            0.030161,            0.007162,            0.007162,            0.007162
                  45,             0.03407,            0.016753,            0.043337,             0.52011,             0.54072,             0.54815,              0.2922,            0.033451,           0.0059627,            0.030681,            0.007096,            0.007096,            0.007096
                  46,            0.033892,            0.016895,            0.042376,             0.53433,             0.54823,             0.55766,              0.2941,            0.033467,           0.0059651,            0.031334,             0.00703,             0.00703,             0.00703
                  47,            0.034031,            0.016919,            0.042315,             0.58411,             0.52297,             0.56758,              0.3036,             0.03287,           0.0059684,            0.030797,            0.006964,            0.006964,            0.006964
                  48,             0.03378,            0.016748,            0.041933,             0.54529,             0.54829,             0.56136,             0.29743,            0.032699,           0.0059686,            0.030432,            0.006898,            0.006898,            0.006898
                  49,            0.034203,            0.016694,             0.04231,             0.57038,             0.53842,             0.56233,             0.29524,            0.032841,           0.0059463,            0.030009,            0.006832,            0.006832,            0.006832
                  50,             0.03377,            0.016708,            0.042413,             0.53927,             0.56275,             0.56667,             0.29662,            0.033043,            0.005951,            0.030281,            0.006766,            0.006766,            0.006766
                  51,            0.034227,            0.016806,            0.042487,              0.5446,             0.56738,             0.57108,             0.30033,            0.033269,           0.0059412,              0.0305,              0.0067,              0.0067,              0.0067
                  52,            0.034022,            0.016886,            0.041969,              0.5357,             0.57018,             0.57378,             0.30602,            0.033076,           0.0059024,            0.030226,            0.006634,            0.006634,            0.006634
                  53,            0.033827,            0.016906,            0.041214,             0.55242,             0.58171,             0.57819,             0.31104,            0.032928,            0.005913,             0.02972,            0.006568,            0.006568,            0.006568
                  54,            0.033638,            0.016657,            0.041209,             0.58668,             0.54145,             0.57999,              0.3103,            0.033075,           0.0059242,             0.02972,            0.006502,            0.006502,            0.006502
                  55,            0.033714,            0.016687,            0.041128,              0.5794,             0.56764,             0.57783,              0.3044,             0.03314,            0.005922,             0.02975,            0.006436,            0.006436,            0.006436
                  56,            0.033472,            0.016692,            0.041387,             0.58817,             0.56068,             0.58653,             0.31618,            0.032568,           0.0059258,            0.029871,             0.00637,             0.00637,             0.00637
                  57,            0.033772,            0.016833,            0.040964,             0.53275,             0.59567,              0.5884,             0.32001,            0.032418,           0.0059148,            0.030169,            0.006304,            0.006304,            0.006304
                  58,            0.033641,            0.016892,            0.041097,               0.613,             0.56071,             0.59835,             0.32308,            0.032503,           0.0059267,             0.02978,            0.006238,            0.006238,            0.006238
                  59,            0.033649,            0.016573,             0.04055,             0.61784,             0.56063,             0.60144,             0.32948,            0.032427,           0.0059492,            0.029375,            0.006172,            0.006172,            0.006172
                  60,            0.033818,            0.016513,            0.040223,               0.579,             0.58724,             0.59312,             0.32357,            0.032545,           0.0059588,            0.029136,            0.006106,            0.006106,            0.006106
                  61,            0.033685,            0.016624,            0.040345,             0.57967,              0.6044,             0.59582,             0.32498,            0.032396,           0.0059264,             0.02882,             0.00604,             0.00604,             0.00604
                  62,            0.033698,            0.016562,            0.040377,             0.57168,             0.59636,             0.60351,             0.32572,            0.032575,            0.005919,            0.028882,            0.005974,            0.005974,            0.005974
                  63,            0.033581,            0.016478,            0.040491,             0.58099,             0.57429,             0.59451,             0.32433,            0.032626,           0.0059367,            0.028681,            0.005908,            0.005908,            0.005908
                  64,            0.033409,            0.016681,            0.039936,             0.60563,             0.57829,             0.59946,              0.3273,            0.032744,            0.005905,             0.02853,            0.005842,            0.005842,            0.005842
                  65,            0.033368,            0.016554,            0.039858,             0.60402,             0.58221,             0.60123,             0.32823,             0.03275,           0.0059105,            0.028617,            0.005776,            0.005776,            0.005776
                  66,             0.03339,            0.016457,            0.039371,             0.61655,             0.57098,             0.60563,             0.32989,            0.032741,           0.0059154,            0.028453,             0.00571,             0.00571,             0.00571
                  67,            0.033395,            0.016523,            0.039359,             0.62039,              0.5693,             0.61054,             0.33055,            0.032594,           0.0059049,            0.028032,            0.005644,            0.005644,            0.005644
                  68,            0.033059,            0.016605,            0.039409,             0.63508,              0.5553,             0.61775,             0.33436,            0.032652,            0.005899,            0.027909,            0.005578,            0.005578,            0.005578
